iter	Passed	Remaining
690	2549	1139
691	2552	1135
692	2555	1132
693	2558	1127
694	2561	1124
695	2564	1120
696	2567	1116
697	2570	1112
698	2573	1108
699	2576	1104
700	2580	1100
701	2583	1096
702	2586	1092
703	2589	1088
704	2592	1084
705	2595	1080
706	2598	1076
707	2601	1072
708	2604	1069
709	2608	1065
710	2611	1061
711	2615	1057
712	2618	1053
713	2620	1049
714	2623	1045
715	2626	1041
716	2629	1037
717	2632	1033
718	2635	1030
719	2638	1026
720	2642	1022
721	2645	1018
722	2648	1014
723	2651	1010
724	2654	1006
725	2657	1002
726	2660	998
727	2663	995
728	2666	991
729	2668	987
730	2671	983
731	2675	979
732	2678	975
733	2681	971
734	2684	968
735	2688	964
736	2691	960
737	2695	956
738	2698	952
739	2701	949
740	2705	945
741	2709	942
742	2713	938
743	2720	936
744	2724	932
745	2728	928
746	2731	925
747	2734	921
748	2737	917
749	2740	913
750	2743	909
751	2746	905
752	2749	901
753	2751	897
754	2755	894
755	2758	890
756	2761	886
757	2764	882
758	2767	878
759	2771	875
760	2774	871
761	2777	867
762	2780	863
763	2783	859
764	2786	855
765	2789	852
766	2792	848
767	2795	844
768	2799	840
769	2802	837
770	2806	833
771	2809	829
772	2813	826
773	2815	822
774	2819	818
775	2822	814
776	2826	811
777	2832	808
778	2841	806
779	2846	802
780	2851	799
781	2854	795
782	2858	792
783	2862	788
784	2866	785
785	2870	781
786	2874	778
787	2878	774
788	2881	770
789	2885	766
790	2888	763
791	2891	759
792	2894	755
793	2897	751
794	2901	748
795	2904	744
796	2907	740
797	2911	737
798	2915	733
799	2918	729
800	2921	725
801	2924	722
802	2927	718
803	2930	714
804	2933	710
805	2936	706
806	2939	703
807	2942	699
808	2945	695
809	2949	691
810	2951	687
811	2955	684
812	2958	680
813	2961	676
814	2965	673
815	2968	669
816	2971	665
817	2975	661
818	2979	658
819	2983	654
820	2986	651
821	2991	647
822	2994	644
823	2997	640
824	3001	636
825	3004	632
826	3007	629
827	3010	625
828	3013	621
829	3017	617
830	3020	614
831	3023	610
832	3028	607
833	3031	603
834	3034	599
835	3037	595
836	3040	592
837	3043	588
838	3047	584
839	3049	580
840	3052	577
841	3055	573
842	3058	569
843	3061	565
844	3064	562
845	3067	558
846	3070	554
847	3074	551
848	3077	547
849	3080	543
850	3083	539
851	3087	536
852	3090	532
853	3093	528
854	3097	525
855	3100	521
856	3103	517
857	3106	514
858	3110	510
859	3113	506
860	3117	503
861	3120	499
862	3123	495
863	3126	492
864	3130	488
865	3133	484
866	3136	481
867	3140	477
868	3143	473
869	3146	470
870	3149	466
871	3153	462
872	3156	459
873	3159	455
874	3163	451
875	3166	448
876	3169	444
877	3173	440
878	3177	437
879	3180	433
880	3184	430
881	3187	426
882	3190	422
883	3194	419
884	3197	415
885	3200	411
886	3204	408
887	3208	404
888	3211	400
889	3215	397
890	3219	393
891	3223	390
892	3227	386
893	3230	383
894	3233	379
895	3237	375
896	3240	372
897	3243	368
898	3246	364
899	3249	361
900	3253	357
901	3256	353
902	3259	350
903	3264	346
904	3269	343
905	3272	339
906	3275	335
907	3278	332
908	3282	328
909	3285	324
910	3288	321
911	3292	317
912	3296	314
913	3299	310
914	3302	306
915	3305	303
916	3308	299
917	3312	295
918	3317	292
919	3320	288
920	3324	285
921	3328	281
922	3331	277
923	3334	274
924	3337	270
925	3340	266
926	3343	263
927	3347	259
928	3351	256
929	3354	252
930	3358	248
931	3361	245
932	3364	241
933	3367	237
934	3370	234
935	3373	230
936	3377	227
937	3380	223
938	3383	219
939	3387	216
940	3390	212
941	3394	208
942	3397	205
943	3400	201
944	3403	198
945	3407	194
946	3410	190
947	3413	187
948	3416	183
949	3420	180
950	3423	176
951	3426	172
952	3429	169
953	3433	165
954	3436	161
955	3439	158
956	3442	154
957	3445	151
958	3448	147
959	3452	143
960	3456	140
961	3459	136
962	3462	133
963	3466	129
964	3469	125
965	3472	122
966	3476	118
967	3479	115
968	3483	111
969	3486	107
970	3491	104
971	3494	100
972	3498	97
973	3501	93
974	3504	89
975	3507	86
976	3510	82
977	3514	79
978	3518	75
979	3521	71
980	3524	68
981	3527	64
982	3531	61
983	3534	57
984	3537	53
985	3540	50
986	3544	46
987	3548	43
988	3551	39
989	3554	35
990	3557	32
991	3561	28
992	3564	25
993	3567	21
994	3570	17
995	3573	14
996	3578	10
997	3582	7
998	3586	3
999	3589	0
